"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"A0685400115","2022-01-01","34.264","-116.854","2057.1","BIG BEAR CITY AIRPORT, CA US","  26.7","17","   6.2","17","9999.9"," 0","791.7","17"," 10.0","17","  3.6","17"," 11.1"," 15.0","  35.6","*","  17.6","*"," 0.00","I","999.9","000000"
"A0685400115","2022-01-02","34.264","-116.854","2057.1","BIG BEAR CITY AIRPORT, CA US","  24.4","24","   5.0","24","9999.9"," 0","798.6","24","  9.5","24","  3.0","24","  9.9","999.9","  44.6","*","  12.2","*"," 0.00","I","999.9","000000"
"A0685400115","2022-01-03","34.264","-116.854","2057.1","BIG BEAR CITY AIRPORT, CA US","  28.5","24","  13.8","24","9999.9"," 0","798.0","24","  9.4","24","  2.4","24"," 11.1"," 17.1","  46.4","*","  15.8","*"," 0.00","I","999.9","000000"
"A0685400115","2022-01-04","34.264","-116.854","2057.1","BIG BEAR CITY AIRPORT, CA US","  36.0","24","   9.9","24","9999.9"," 0","798.3","24"," 10.0","24","  5.9","24"," 13.0"," 18.1","  50.0","*","  24.8","*"," 0.00","I","999.9","000000"
"A0685400115","2022-01-05","34.264","-116.854","2057.1","BIG BEAR CITY AIRPORT, CA US","  36.7","24","  17.4","24","9999.9"," 0","798.5","24","  9.8","24","  2.4","24","  7.0","999.9","  57.2","*","  23.0","*"," 0.00","I","999.9","000000"
"A0685400115","2022-01-06","34.264","-116.854","2057.1","BIG BEAR CITY AIRPORT, CA US","  35.8","24","  24.9","24","9999.9"," 0","797.3","24"," 10.0","24","  1.5","24","  8.0","999.9","  55.4","*","  23.0","*"," 0.00","I","999.9","000000"
"A0685400115","2022-01-07","34.264","-116.854","2057.1","BIG BEAR CITY AIRPORT, CA US","  36.7","24","  23.4","24","9999.9"," 0","793.1","24","  9.9","24","  3.7","24"," 14.0"," 18.1","  50.0","*","  26.6","*"," 0.00","I","999.9","000000"
"A0685400115","2022-01-08","34.264","-116.854","2057.1","BIG BEAR CITY AIRPORT, CA US","  36.6","24","  16.1","24","9999.9"," 0","791.8","24"," 10.0","24","  4.4","24","  9.9","999.9","  44.6","*","  23.0","*"," 0.00","I","999.9","000000"
"A0685400115","2022-01-09","34.264","-116.854","2057.1","BIG BEAR CITY AIRPORT, CA US","  29.0","24","  15.5","24","9999.9"," 0","799.3","24","  9.6","24","  4.1","24"," 15.9"," 20.0","  42.8","*","  17.6","*"," 0.00","I","999.9","000000"
"A0685400115","2022-01-10","34.264","-116.854","2057.1","BIG BEAR CITY AIRPORT, CA US","  26.7","24","  12.3","24","9999.9"," 0","803.8","24","  9.9","24","  2.2","24","  9.9","999.9","  42.8","*","  14.0","*"," 0.00","I","999.9","000000"
"A0685400115","2022-01-11","34.264","-116.854","2057.1","BIG BEAR CITY AIRPORT, CA US","  31.9","24","   9.3","24","9999.9"," 0","803.5","24"," 10.0","24","  2.5","24","  8.9","999.9","  53.6","*","  15.8","*"," 0.00","I","999.9","000000"
"A0685400115","2022-01-12","34.264","-116.854","2057.1","BIG BEAR CITY AIRPORT, CA US","  33.5","24","   9.8","24","9999.9"," 0","804.1","24"," 10.0","24","  1.3","24","  8.9","999.9","  55.4","*","  21.2","*"," 0.00","I","999.9","000000"
"A0685400115","2022-01-13","34.264","-116.854","2057.1","BIG BEAR CITY AIRPORT, CA US","  37.6","24","  16.0","24","9999.9"," 0","802.5","24"," 10.0","24","  1.8","24","  7.0","999.9","  53.6","*","  28.4","*"," 0.00","I","999.9","000000"
"A0685400115","2022-01-14","34.264","-116.854","2057.1","BIG BEAR CITY AIRPORT, CA US","  39.4","24","  24.8","24","9999.9"," 0","799.8","24","  9.9","24","  3.1","24"," 13.0"," 18.1","  51.8","*","  30.2","*","99.99"," ","999.9","010000"
"A0685400115","2022-01-15","34.264","-116.854","2057.1","BIG BEAR CITY AIRPORT, CA US","  36.9","24","  15.0","24","9999.9"," 0","800.3","24"," 10.0","24","  7.7","24"," 15.0"," 18.1","  46.4","*","  33.8","*"," 0.00","I","999.9","000000"
"A0685400115","2022-01-16","34.264","-116.854","2057.1","BIG BEAR CITY AIRPORT, CA US","  35.3","24","  21.1","24","9999.9"," 0","798.1","24","  9.6","24","  1.3","24","  8.9","999.9","  50.0","*","  26.6","*"," 0.00","I","999.9","000000"
